modality,study,phase,class_id,class,gt_present,pred_present,dice,hd95_mm,nsd2mm,gt_vox,pred_vox,spacing,set
FLAIR,ReMIND-056-post,postop,lesion,lesion,1,1,0.0,59.29055903307693,0.0,17551,32,"0.8539,0.8523,1.9741",GAN-cut-2D-FLAIR
FLAIR,ReMIND-056-pre,preop,1,tumor,1,1,0.5547527720327633,10.24330077424828,0.32478001703093956,55846,53911,"0.7937,0.7936,1.2000",GAN-cut-2D-FLAIR
FLAIR,ReMIND-056-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.7937,0.7936,1.2000",GAN-cut-2D-FLAIR
FLAIR,ReMIND-056-pre,preop,lesion,lesion,1,1,0.5547527720327633,10.24330077424828,0.32478001703093956,55846,53911,"0.7937,0.7936,1.2000",GAN-cut-2D-FLAIR
FLAIR,ReMIND-077-post,postop,1,tumor,1,1,0.013472137170851195,22.00639960227958,0.05827865688923196,2094,2805,"0.8558,0.8268,1.9283",GAN-cut-2D-FLAIR
FLAIR,ReMIND-077-post,postop,2,cavity,1,1,0.0,70.61954193737594,0.0,2767,64,"0.8558,0.8268,1.9283",GAN-cut-2D-FLAIR
FLAIR,ReMIND-077-post,postop,lesion,lesion,1,1,0.008538163001293661,23.89083982583276,0.03913945049248315,4861,2869,"0.8558,0.8268,1.9283",GAN-cut-2D-FLAIR
FLAIR,ReMIND-077-pre,preop,1,tumor,1,1,0.0010976948408342481,25.291703022696307,0.01392931392931393,6841,2269,"0.9765,0.9644,0.9880",GAN-cut-2D-FLAIR
FLAIR,ReMIND-077-pre,preop,2,cavity,1,0,0.0,nan,nan,5265,0,"0.9765,0.9644,0.9880",GAN-cut-2D-FLAIR
FLAIR,ReMIND-077-pre,preop,lesion,lesion,1,1,0.0006956521739130435,24.31386555237767,0.011814494798095574,12106,2269,"0.9765,0.9644,0.9880",GAN-cut-2D-FLAIR
FLAIR,ReMIND-079-post,postop,1,tumor,1,0,0.0,nan,nan,7260,0,"0.7990,0.7254,1.8280",GAN-cut-2D-FLAIR
FLAIR,ReMIND-079-post,postop,2,cavity,0,0,nan,nan,nan,0,0,"0.7990,0.7254,1.8280",GAN-cut-2D-FLAIR
FLAIR,ReMIND-079-post,postop,lesion,lesion,1,0,0.0,nan,nan,7260,0,"0.7990,0.7254,1.8280",GAN-cut-2D-FLAIR
FLAIR,ReMIND-079-pre,preop,1,tumor,1,1,0.12691475459005505,17.273795082310116,0.17926440776136693,14068,32609,"0.9526,0.9132,0.9551",GAN-cut-2D-FLAIR
FLAIR,ReMIND-079-pre,preop,2,cavity,1,0,0.0,nan,nan,7069,0,"0.9526,0.9132,0.9551",GAN-cut-2D-FLAIR
FLAIR,ReMIND-079-pre,preop,lesion,lesion,1,1,0.1299073419417259,16.72740691032695,0.18879533678756477,21137,32609,"0.9526,0.9132,0.9551",GAN-cut-2D-FLAIR
FLAIR,ReMIND-087-pre,preop,1,tumor,1,1,0.11367548114536066,14.662055715728236,0.1752087532392744,11505,14059,"0.9766,0.9734,0.9968",GAN-cut-2D-FLAIR
FLAIR,ReMIND-087-pre,preop,2,cavity,1,0,0.0,nan,nan,11681,0,"0.9766,0.9734,0.9968",GAN-cut-2D-FLAIR
FLAIR,ReMIND-087-pre,preop,lesion,lesion,1,1,0.3530675258423949,11.954917207260817,0.20606270970727755,23186,14059,"0.9766,0.9734,0.9968",GAN-cut-2D-FLAIR
FLAIR,ReMIND-091-pre,preop,1,tumor,1,1,0.46324023928356517,11.112800955149789,0.16668557812322704,25347,31155,"0.9733,0.9707,0.9931",GAN-cut-2D-FLAIR
FLAIR,ReMIND-091-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.9733,0.9707,0.9931",GAN-cut-2D-FLAIR
FLAIR,ReMIND-091-pre,preop,lesion,lesion,1,1,0.46324023928356517,11.112800955149789,0.16668557812322704,25347,31155,"0.9733,0.9707,0.9931",GAN-cut-2D-FLAIR
FLAIR,ReMIND-096-post,postop,1,tumor,0,1,nan,nan,nan,0,3164,"0.8569,0.8553,1.9849",GAN-cut-2D-FLAIR
