phase,roi,dilation_mm,comparison,metric,n,mean_A,mean_B,stat,p
all,lesion,0.0,SynDiff-2.5D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10888444804407019,0.10499907631036795,104.0,0.9854354858398438
all,lesion,0.0,CycleGAN-3D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7151722931478466,0.7566241829868274,2.0,5.7220458984375e-06
all,lesion,0.0,CycleGAN-3D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,13.90649290617274,15.36103028228957,12.0,0.000133514404296875
all,lesion,0.0,CycleGAN-3D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.0980109081672671,0.10499907631036795,66.0,0.15364646911621094
all,lesion,0.0,CUT-3D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7198032756495361,0.7566241829868274,11.0,0.0001049041748046875
all,lesion,0.0,CUT-3D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.583974193325087,15.36103028228957,33.0,0.005580902099609375
all,lesion,0.0,CUT-3D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.09381085471148784,0.10499907631036795,54.0,0.058258056640625
all,lesion,0.0,SynDiff-3D+3D-refine-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7047465970667377,0.7566241829868274,18.0,0.0004825592041015625
all,lesion,0.0,SynDiff-3D+3D-refine-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,13.81138460118824,15.36103028228957,16.0,0.0003223419189453125
all,lesion,0.0,SynDiff-3D+3D-refine-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10784246334857758,0.10499907631036795,103.0,0.956329345703125
all,lesion,0.0,CycleGAN-2D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.6701097441625931,0.7566241829868274,15.0,0.0002613067626953125
