comparison,metric,n,mean_A,mean_B,stat,p,note
SynDiff-3D+3D-refine-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.236781082059824,0.2515127677885552,70.0,0.2024497985839843,
[arch effect GAN-pix2pix] pix2pix-2.5D-T2  vs  pix2pix-2D-T2,ssim,30,0.8011731500799975,0.7994353031397041,120.0,0.0196608155965805,
[arch effect GAN-pix2pix] pix2pix-2.5D-T2  vs  pix2pix-2D-T2,psnr,30,15.09675574203615,15.005824941724184,56.0,0.0001105815172195,
[arch effect GAN-pix2pix] pix2pix-2.5D-T2  vs  pix2pix-2D-T2,lpips,30,0.2558951393893073,0.2490309214091968,0.0,1.862645149230957e-09,
[arch effect GAN-pix2pix] pix2pix-2D+3D-post-T2  vs  pix2pix-2D-T2,ssim,30,0.8138262320340097,0.7994353031397041,0.0,1.862645149230957e-09,
[arch effect GAN-pix2pix] pix2pix-2D+3D-post-T2  vs  pix2pix-2D-T2,psnr,30,14.961754186515428,15.005824941724184,229.0,0.9515264742076396,
[arch effect GAN-pix2pix] pix2pix-2D+3D-post-T2  vs  pix2pix-2D-T2,lpips,30,0.2446324750940813,0.2490309214091968,103.0,0.0066395364701747,
[arch effect GAN-pix2pix] pix2pix-3D-T2  vs  pix2pix-2D-T2,ssim,30,0.7819806636640235,0.7994353031397041,32.0,5.144625902175903e-06,
[arch effect GAN-pix2pix] pix2pix-3D-T2  vs  pix2pix-2D-T2,psnr,30,14.099068211371751,15.005824941724184,4.0,1.30385160446167e-08,
[arch effect GAN-pix2pix] pix2pix-3D-T2  vs  pix2pix-2D-T2,lpips,30,0.2457699673348378,0.2490309214091968,155.0,0.1141766738146543,
[arch effect GAN-CUT] CUT-2.5D-T2  vs  CUT-2D-T2,ssim,30,0.7972684282940112,0.7996674218065227,38.0,1.218356192111969e-05,
[arch effect GAN-CUT] CUT-2.5D-T2  vs  CUT-2D-T2,psnr,30,14.925170200750406,14.893525367935768,165.0,0.1705983951687812,
[arch effect GAN-CUT] CUT-2.5D-T2  vs  CUT-2D-T2,lpips,30,0.2774927853503922,0.2572733312561249,0.0,1.862645149230957e-09,
[arch effect GAN-CUT] CUT-2D+3D-post-T2  vs  CUT-2D-T2,ssim,30,0.8127951586505492,0.7996674218065227,0.0,1.862645149230957e-09,
[arch effect GAN-CUT] CUT-2D+3D-post-T2  vs  CUT-2D-T2,psnr,30,14.899322974475773,14.893525367935768,171.0,0.2129328530281782,
[arch effect GAN-CUT] CUT-2D+3D-post-T2  vs  CUT-2D-T2,lpips,30,0.2558857492888043,0.2572733312561249,200.0,0.5158484429121017,
[arch effect GAN-CUT] CUT-3D-T2  vs  CUT-2D-T2,ssim,30,0.7831710339824449,0.7996674218065227,30.0,3.7904828786849976e-06,
[arch effect GAN-CUT] CUT-3D-T2  vs  CUT-2D-T2,psnr,30,14.265253464971313,14.893525367935768,1.0,3.725290298461914e-09,
[arch effect GAN-CUT] CUT-3D-T2  vs  CUT-2D-T2,lpips,30,0.2022551510791726,0.2572733312561249,0.0,1.862645149230957e-09,
[arch effect GAN-CycleGAN] CycleGAN-2.5D-T2  vs  CycleGAN-2D-T2,ssim,30,0.8029384359498053,0.775963699132196,8.0,4.6566128730773926e-08,
[arch effect GAN-CycleGAN] CycleGAN-2.5D-T2  vs  CycleGAN-2D-T2,psnr,30,14.80537601475722,13.227955858169649,1.0,3.725290298461914e-09,
[arch effect GAN-CycleGAN] CycleGAN-2.5D-T2  vs  CycleGAN-2D-T2,lpips,30,0.2722098312784514,0.2665619875103823,161.0,0.1459994912147522,
[arch effect GAN-CycleGAN] CycleGAN-2D+3D-post-T2  vs  CycleGAN-2D-T2,ssim,30,0.8063278119120333,0.775963699132196,6.0,2.60770320892334e-08,
[arch effect GAN-CycleGAN] CycleGAN-2D+3D-post-T2  vs  CycleGAN-2D-T2,psnr,30,14.68072492603425,13.227955858169649,0.0,1.862645149230957e-09,
[arch effect GAN-CycleGAN] CycleGAN-2D+3D-post-T2  vs  CycleGAN-2D-T2,lpips,30,0.2620073909914017,0.2665619875103823,181.0,0.2988441474735737,
[arch effect GAN-CycleGAN] CycleGAN-3D-T2  vs  CycleGAN-2D-T2,ssim,30,0.7900887933292855,0.775963699132196,130.0,0.0345367342233657,
[arch effect GAN-CycleGAN] CycleGAN-3D-T2  vs  CycleGAN-2D-T2,psnr,30,14.25258651787589,13.227955858169649,75.0,0.000729601830244,
